sec,nanosec,position_shoulder,velocity_shoulder,effort_shoulder
10038,980000000,0.5882873466313727,-0.02612106654989694,nan
10038,990000000,0.5882873466313763,-0.026121066548215714,nan
10039,0,0.5882873466313745,-0.02612106654674803,nan
10039,10000000,0.5882873466313798,-0.02612106654520945,nan
10039,20000000,0.588287346631378,-0.026121066543634146,nan
10039,30000000,0.5882873466313816,-0.02612106654216412,nan
10039,40000000,0.5882873466313834,-0.026121066540527448,nan
10039,50000000,0.5882873466313825,-0.026121066539067688,nan
10039,60000000,0.5882873466313869,-0.026121066537536135,nan
10039,70000000,0.5882873466313852,-0.026121066536015095,nan
10039,80000000,0.5882873466313887,-0.026121066534401636,nan
10039,90000000,0.5882873466313896,-0.02612106653284684,nan
10039,100000000,0.5882873466313905,-0.026121066531425007,nan
10039,110000000,0.5882873466313923,-0.026121066529822056,nan
10039,120000000,0.5882873466313949,-0.026121066528341518,nan
10039,130000000,0.5882873466313958,-0.02612106652680013,nan
10039,140000000,0.5882873466313976,-0.02612106652526831,nan
10039,150000000,0.5882873466314011,-0.026121066523747054,nan
10039,160000000,0.5882873466313994,-0.02612106652225629,nan
10039,170000000,0.5882873466314029,-0.026121066520662362,nan
10039,180000000,0.5882873466314047,-0.0261210665191957,nan
10039,190000000,0.5882873466314047,-0.026121066517461964,nan
10039,200000000,0.5882873466314082,-0.026121066516085183,nan
10039,210000000,0.5882873466314082,-0.02612106651450967,nan
10039,220000000,0.5882873466314109,-0.026121066512918494,nan
10039,230000000,0.5882873466314109,-0.026121066511428356,nan
10039,240000000,0.5882873466314136,-0.02612106650988015,nan
10039,250000000,0.5882873466314136,-0.026121066508539348,nan
10039,260000000,0.5882873466314154,-0.026121066506938104,nan
10039,270000000,0.5882873466314189,-0.02612106650541392,nan
10039,280000000,0.5882873466314171,-0.026121066503948343,nan
10039,290000000,0.5882873466314225,-0.02612106650211922,nan
10039,300000000,0.5882873466314225,-0.02612106650082062,nan
10039,310000000,0.5882873466314242,-0.02612106649936222,nan
10039,320000000,0.5882873466314242,-0.026121066497800917,nan
